"","TEAM","need1","need2","need3","need4","need5","need6","need7"
"1","ARI","DL","WR","IOL","OT","EDGE","LB","CB"
"2","ATL","EDGE","CB","LB","DL","IOL","WR","S"
"3","BAL","OT","EDGE","IOL","S","CB","WR","LB"
"4","BUF","DL","CB","S","EDGE","WR","LB","TE"
"5","CAR","EDGE","WR","DL","CB","S","TE","RB"
"6","CHI","OT","EDGE","RB","IOL","DL","WR","TE"
"7","CIN","DL","EDGE","CB","TE","WR","S","IOL"
"8","CLE","EDGE","QB","CB","RB","DL","OT","WR"
"9","DAL","WR","DL","EDGE","OT","RB","CB","IOL"
"10","DEN","RB","WR","DL","IOL","S","TE","LB"
"11","DET","EDGE","IOL","DL","CB","S","LB","OT"
"12","GB","EDGE","CB","WR","DL","OT","IOL","QB"
"13","HOU","OT","IOL","DL","WR","RB","EDGE","TE"
"14","IND","TE","CB","S","IOL","OT","EDGE","LB"
"15","JAC","DL","CB","OT","WR","IOL","S","EDGE"
"16","KC","OT","IOL","DL","RB","TE","WR","S"
"17","LV","QB","RB","WR","CB","DL","EDGE","OT"
"18","LAC","EDGE","WR","CB", "DL","TE","RB","IOL"
"19","LAR","OT","WR","TE","IOL","CB","QB","LB"
"20","MIA","OT","S","IOL","DL","CB","TE","EDGE"
"21","MIN","CB","S","RB","OT","LB","DL","IOL",
"22","NE","OT","CB","EDGE","WR","DL","TE","IOL"
"23","NO","EDGE","TE","WR","OT","CB","QB","DL"
"24","NYG","QB","OT","IOL","EDGE","CB","DL","S"
"25","NYJ","DL","QB","TE","CB","OT","EDGE","WR"
"26","PHI","EDGE","DL","LB","IOL","WR","OT","TE"
"27","PIT","CB","DL","QB","RB","OT","WR","S"
"28","SF","OT","EDGE","WR","CB","DL","TE","IOL"
"29","SEA","OT","WR","IOL","QB","EDGE","LB","S"
"30","TB","EDGE","LB","CB","WR","S","OT","IOL"
"31","TEN","EDGE","QB","CB","OT","WR","IOL","TE"
"32","WAS","EDGE","CB","S","OT","RB","DL","WR"
