player_id,player_name,position,team,height,weight,years_exp,rookie_year,birth_date,college
00-0017724,Bernard Williams,OL,PHI,80,286,29,1994,NA,NA
00-0022531,Jason Peters,OL,SEA,76,328,19,2004,1982-01-22,Arkansas
00-0023459,Aaron Rodgers,QB,NYJ,74,225,18,2005,1983-12-02,California
00-0023853,Matt Prater,K,ARI,70,201,17,2006,1984-08-10,Central Florida
00-0024243,Marcedes Lewis,TE,CHI,78,267,17,2006,1984-05-19,UCLA
00-0025565,Nick Folk,K,TEN,73,222,16,2007,1984-11-05,Arizona
00-0025580,Mason Crosby,K,NYG,73,207,16,2007,1984-09-03,Colorado
00-0026027,J.J. Jansen,LS,CAR,74,235,15,2008,1986-01-20,Notre Dame
00-0026158,Joe Flacco,QB,CLE,78,245,15,2008,1985-01-16,Delaware
00-0026166,Duane Brown,OL,NYJ,76,315,15,2008,1985-08-30,Virginia Tech
00-0026190,Calais Campbell,DL,ATL,80,300,15,2008,1986-09-01,Miami
00-0026293,Matt Slater,WR,NE,72,205,15,2008,1985-09-09,UCLA
00-0026300,Josh Johnson,QB,BAL,75,219,15,2008,1986-05-15,San Diego
00-0026498,Matthew Stafford,QB,LA,75,220,14,2009,1988-02-07,Georgia
00-0026625,Brian Hoyer,QB,LV,74,215,14,2009,1985-10-13,Michigan State
00-0026858,Graham Gano,K,NYG,74,202,14,2009,1987-04-09,Florida State
00-0027114,Thomas Morstead,P,NYJ,76,235,14,2009,1986-03-08,Southern Methodist
00-0027187,Matt Overton,LS,CHI,73,243,13,2010,1985-07-06,Western Washington
00-0027224,Jon Weeks,LS,HOU,70,242,13,2010,1986-02-17,Baylor
00-0027557,Morgan Cox,LS,TEN,76,233,13,2010,1986-04-26,Tennessee
00-0027647,Devin McCourty,DB,NE,70,195,13,2010,1987-08-13,Rutgers
00-0027648,Rodger Saffold,OL,CLE,77,325,13,2010,1988-06-06,Indiana
00-0027674,Jared Veldheer,OL,IND,80,321,13,2010,1987-06-14,Hillsdale
00-0027688,Colt McCoy,QB,ARI,73,212,13,2010,1986-09-05,Texas
00-0027696,Jimmy Graham,TE,NO,79,265,13,2010,1986-11-24,Miami
00-0027723,Al Woods,DL,NYJ,77,330,13,2010,1987-03-25,Louisiana State
00-0027857,Trent Williams,OL,SF,77,320,13,2010,1988-07-19,Oklahoma
