season,week,game_id,passer_player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,pass_epa,pass_epa_per_att,cpoe,success_rate,sacks,sack_yards,pressures,third_down_attempts,third_down_completions,red_zone_attempts,red_zone_tds,completion_pct,yards_per_attempt,passer_rating,td_pct,int_pct,pressure_rate,third_down_pct,red_zone_td_pct,rush_attempts,rushing_yards,rushing_tds,yards_per_carry,rush_epa,rush_epa_per_att,fumbles,fumbles_lost,time_to_throw,aggressiveness,avg_air_distance,intended_air_yards,cpoe_ngs,fantasy_points_std,fantasy_points_ppr,fantasy_points_per_game
2023,1,2023_01_ARI_WAS,00-0033949,J.Dobbs,ARI,33,21,114,0,0,-9.239667566276069,-0.2799899262507899,2.0314213633537292,0.30303030303030304,3,-18,8,11,5,5,0,0.6363636363636364,3.4545454545454546,69.50757575757575,0,0,0.24242424242424243,0.45454545454545453,0,3,-3,0,-1,-7.96104086341802,-2.6536802878060066,1,1,2.6794000000000002,26.666666666666668,3.2295238095238097,5.990333333333333,9.55423121651014,2.9800000000000004,2.9800000000000004,2.9800000000000004
2023,1,2023_01_ARI_WAS,00-0037077,S.Howell,WAS,37,19,156,1,1,-13.413062730876792,-0.36251520894261596,-6.899052961119292,0.37837837837837834,6,-46,12,8,5,3,1,0.5135135135135135,4.216216216216216,60.19144144144144,0.02702702702702703,0.02702702702702703,0.32432432432432434,0.625,0.3333333333333333,2,11,1,5.5,2.768072582257446,1.384036291128723,0,0,2.8733548387096772,16.129032258064516,7.081052631578949,7.5379310344827575,-0.19944238085900423,15.18,15.18,15.18
2023,1,2023_01_BUF_NYJ,00-0023459,A.Rodgers,NYJ,2,0,-10,0,0,-2.0319598843343556,-1.0159799421671778,NA,0,1,-10,3,0,0,0,0,0,-5,0,0,0,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2023,1,2023_01_BUF_NYJ,00-0034857,J.Allen,BUF,46,29,217,1,3,-1.409397025535174,-0.030639065772503797,7.830620079468456,0.5,5,-19,14,9,4,3,1,0.6304347826086957,4.717391304347826,54.34782608695653,0.021739130434782608,0.06521739130434782,0.30434782608695654,0.4444444444444444,0.3333333333333333,6,36,0,6,-1.3393285559971733,-0.22322142599952888,1,1,2.775075,21.951219512195124,3.7537931034482765,7.855384615384616,8.254943047536585,11.04,11.04,11.04
2023,1,2023_01_BUF_NYJ,00-0037013,Z.Wilson,NYJ,23,14,127,1,1,-3.1895326425664656,-0.13867533228549847,6.418682138125101,0.3478260869565218,2,-13,7,10,6,2,1,0.6086956521739131,5.521739130434782,72.19202898550724,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.6,0.5,4,6,0,1.5,2.178302038781112,0.544575509695278,0,0,3.2857142857142856,14.285714285714285,3.4471428571428575,4.328888888888889,5.593538993880848,8.200000000000001,8.200000000000001,8.200000000000001
2023,1,2023_01_CAR_ATL,00-0038122,D.Ridder,ATL,22,15,91,1,0,-4.450449751486303,-0.20229317052210455,6.426090333196852,0.36363636363636354,4,-24,8,8,7,2,1,0.6818181818181818,4.136363636363637,91.2878787878788,0.045454545454545456,0,0.36363636363636365,0.875,0.5,1,-1,0,-1,0,0,0,0,2.6376666666666666,5.555555555555555,2.2913333333333332,3.039444444444444,4.108896189265792,7.900000000000001,8.900000000000002,8.900000000000002
2023,1,2023_01_CAR_ATL,00-0039150,B.Young,CAR,40,20,127,1,2,-10.528563417818297,-0.26321408544545744,-5.514065777101824,0.3,2,-19,9,12,6,2,1,0.5,3.175,44.479166666666664,0.025,0.05,0.225,0.5,0.5,3,17,0,5.666666666666667,-1.5006851732032374,-0.5002283910677457,1,0,3.157421052631579,7.894736842105263,2.607500000000001,6.292580645161291,-3.2173253203693264,7.54,7.54,7.54
2023,1,2023_01_CIN_CLE,00-0033537,D.Watson,CLE,32,16,144,1,1,-10.871305896014096,-0.3397283092504407,-6.878151616145822,0.375,3,-10,8,9,4,5,1,0.5,4.5,59.895833333333336,0.03125,0.03125,0.25,0.4444444444444444,0.2,6,47,1,7.833333333333333,7.417469060383271,1.236244843397212,0,0,3.2111034482758614,17.24137931034483,5.467499999999999,11.033448275862069,-12.072045124810316,20.66,20.66,20.66
2023,1,2023_01_CIN_CLE,00-0035100,J.Browning,CIN,1,0,0,0,0,-1.24702901893761,-1.24702901893761,-36.419203877449036,0,0,0,1,1,0,0,0,0,0,2.0833333333333335,0,0,1,0,0,1,-1,0,-1,0,0,0,0,NA,NA,NA,NA,NA,-0.1,-0.1,-0.1
2023,1,2023_01_CIN_CLE,00-0036442,J.Burrow,CIN,33,14,67,0,0,-18.635626889657797,-0.5647159663532666,-18.20710390806198,0.2121212121212121,2,-15,11,12,7,0,0,0.42424242424242425,2.0303030303030303,45.89646464646464,0,0,0.3333333333333333,0.5833333333333334,0,1,-1,0,-1,0,0,0,0,2.5629032258064517,9.67741935483871,2.132142857142856,7.0876666666666654,-13.886917929255205,3.18,3.18,3.18
2023,1,2023_01_DAL_NYG,00-0028118,T.Taylor,NYG,2,2,6,0,0,-0.544656885205768,-0.272328442602884,11.933872103691101,0,0,0,0,0,0,0,0,1,3,97.91666666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.24,0.24
2023,1,2023_01_DAL_NYG,00-0033077,D.Prescott,DAL,24,13,143,0,0,4.17848433913809,0.17410351413075384,-10.176300133268041,0.375,0,0,3,8,5,10,0,0.5416666666666666,5.958333333333333,72.0486111111111,0,0,0.125,0.625,0,1,6,0,6,0.3368413212010637,0.3368413212010637,0,0,2.3709166666666666,16.666666666666664,5.24923076923077,6.425416666666667,-15.39948309461277,6.32,6.32,6.32
2023,1,2023_01_DAL_NYG,00-0033662,C.Rush,DAL,1,0,0,0,0,-2.601653972407803,-2.601653972407803,-36.65699064731598,0,0,0,0,0,0,0,0,0,0,2.0833333333333335,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2023,1,2023_01_DAL_NYG,00-0035710,D.Jones,NYG,35,15,57,0,2,-27.15665195591282,-0.7759043415975092,-13.368914138387748,0.20000000000000004,7,-47,19,9,5,2,0,0.42857142857142855,1.6285714285714286,20.773809523809522,0,0.05714285714285714,0.5428571428571428,0.5555555555555556,0,13,43,0,3.3076923076923075,-2.8615624441284773,-0.22012018800988287,2,0,3.0411071428571423,14.285714285714285,2.1886666666666654,5.80962962962963,-12.26051055959293,4.46,4.46,4.46
2023,1,2023_01_DET_KC,00-0033106,J.Goff,DET,36,22,250,1,0,3.874921951792203,0.10763672088311674,-0.11570891365408897,0.4444444444444444,1,-3,5,11,6,2,1,0.6111111111111112,6.944444444444445,91.20370370370371,0.027777777777777776,0,0.1388888888888889,0.5454545454545454,0.5,5,-1,0,-0.2,-4.454753083118703,-0.8909506166237406,1,0,2.5983823529411763,5.714285714285714,6.27909090909091,6.414062499999998,-2.5258879150663134,14.020000000000001,14.020000000000001,14.020000000000001
2023,1,2023_01_DET_KC,00-0033873,P.Mahomes,KC,39,21,226,2,1,-6.4536129623823655,-0.16547725544570174,-6.219996028655283,0.4358974358974359,0,0,7,11,5,5,2,0.5384615384615384,5.794871794871795,77.51068376068376,0.05128205128205128,0.02564102564102564,0.1794871794871795,0.45454545454545453,0.4,6,45,0,7.5,2.924736169516109,0.4874560282526848,0,0,3.2791282051282056,5.128205128205128,5.3571428571428585,9.07162162162162,-10.629146679853783,19.54,19.54,19.54
2023,1,2023_01_GB_CHI,00-0036264,J.Love,GB,28,15,237,3,0,17.795653510178614,0.6355590539349505,-5.516260862350464,0.3928571428571429,1,-8,4,9,7,4,2,0.5357142857142857,8.464285714285714,117.70833333333333,0.10714285714285714,0,0.14285714285714285,0.7777777777777778,0.5,3,12,0,4,-0.8646815365063958,-0.2882271788354653,0,0,2.8089259259259256,22.22222222222222,6.388,10.00851851851852,-12.25282980336084,23,23,23
2023,1,2023_01_GB_CHI,00-0036945,J.Fields,CHI,42,24,189,1,1,-11.945732079244234,-0.2844221923629581,-7.785577906502614,0.38095238095238093,4,-27,10,9,3,8,1,0.5714285714285714,4.5,66.46825396825396,0.023809523809523808,0.023809523809523808,0.23809523809523808,0.3333333333333333,0.125,9,59,0,6.555555555555555,0.6865093042724766,0.07627881158583073,0,0,2.9521891891891894,2.7027027027027026,3.29625,3.251388888888888,-10.256791114807129,14.54,14.54,14.54
2023,1,2023_01_HOU_BAL,00-0034796,L.Jackson,BAL,26,17,155,0,1,-4.415662565714761,-0.1698331756044139,11.384226026989163,0.46153846153846156,4,-14,11,12,7,5,0,0.6538461538461539,5.961538461538462,65.38461538461539,0,0.038461538461538464,0.4230769230769231,0.5833333333333334,0,6,38,0,6.333333333333333,1.4454559673904441,0.24090932789840735,1,0,2.614545454545455,9.090909090909092,4.839999999999999,4.924761904761904,8.117927543141619,6.5600000000000005,6.5600000000000005,6.5600000000000005
2023,1,2023_01_HOU_BAL,00-0039163,C.Stroud,HOU,49,28,196,0,0,-11.156192205151807,-0.22767739194187364,-4.569687676984208,0.3673469387755102,5,-46,15,16,13,3,0,0.5714285714285714,4,66.3690476190476,0,0,0.30612244897959184,0.8125,0,4,20,0,5,-0.5883517054026015,-0.14708792635065038,0,0,2.768418604651163,18.181818181818183,3.572499999999999,5.72046511627907,-2.328340510245077,9.68,10.68,10.68
2023,1,2023_01_JAX_IND,00-0035289,G.Minshew,IND,2,0,0,0,0,-4.754616433085175,-2.3773082165425876,-64.04718458652496,0,0,0,0,0,0,2,0,0,0,2.0833333333333335,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
