season,week,game_id,rusher_player_id,player_name,team,rush_attempts,rushing_yards,rushing_tds,fumbles,fumbles_lost,rush_epa,rush_epa_per_att,explosive_runs,first_down_rushes,third_down_rushes,third_down_conversions,red_zone_rushes,red_zone_tds,goal_line_rushes,goal_line_tds,team_rush_attempts,yards_per_carry,fumble_rate,rush_share,td_rate,third_down_conversion_rate,red_zone_td_rate,goal_line_td_rate,targets,receptions,receiving_yards,receiving_tds,catch_rate,target_share,air_yards,yac,drop_rate,rush_efficiency,ryoe_per_att,yac_above_expected,fantasy_points_std,fantasy_points_ppr,fantasy_points_per_game
2023,1,2023_01_ARI_WAS,00-0033282,C.Samuel,WAS,1,6,0,0,0,0.1888738968409598,0.1888738968409598,0,1,0,0,1,0,0,0,28,6,0,0.03571428571428571,0,0,0,0,5,5,54,0,1,0.13513513513513514,27,27,0,NA,NA,-0.9567409963625044,6,11,11
2023,1,2023_01_ARI_WAS,00-0033553,J.Conner,ARI,14,62,0,0,0,-1.402507855789736,-0.10017913255640973,0,7,2,1,0,0,0,0,25,4.428571428571429,0,0.56,0,0.5,0,0,5,5,8,0,1,0.15151515151515152,-16,24,0,4.0525806451612905,-1.3224410730528748,NA,7,12,12
2023,1,2023_01_ARI_WAS,00-0035662,M.Brown,ARI,1,29,0,0,0,2.1730704207438976,2.1730704207438976,1,0,0,0,0,0,0,0,25,29,0,0.04,0,0,0,0,5,3,28,0,0.6,0.15151515151515152,48,0,0.4,NA,NA,-0.9010304399830222,5.7,8.7,8.7
2023,1,2023_01_ARI_WAS,00-0036328,A.Gibson,WAS,3,9,0,1,1,-4.909313174721319,-1.6364377249071063,0,1,0,0,1,0,0,0,28,3,0.3333333333333333,0.10714285714285714,0,0,0,0,1,1,10,0,1,0.02702702702702703,-4,14,0,NA,NA,NA,-0.09999999999999987,0.9000000000000001,0.9000000000000001
2023,1,2023_01_ARI_WAS,00-0036936,R.Moore,ARI,2,12,0,0,0,-0.3255146318115294,-0.1627573159057647,0,1,1,0,0,0,0,0,25,6,0,0.08,0,0,0,0,3,3,33,0,1,0.09090909090909091,8,25,0,NA,NA,NA,4.5,7.5,7.5
2023,1,2023_01_ARI_WAS,00-0037299,K.Ingram,ARI,5,-4,0,0,0,-3.6633026723284274,-0.7326605344656855,0,3,0,0,0,0,0,0,25,-0.8,0,0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.4,-0.4
2023,1,2023_01_ARI_WAS,00-0037746,B.Robinson,WAS,19,59,0,0,0,-3.4775958434614918,-0.18303136018218374,0,9,2,0,3,0,0,0,28,3.1052631578947367,0,0.6785714285714286,0,0,0,0,2,1,7,1,0.5,0.05405405405405406,3,0,0.5,4.573559322033899,-1.105910623383201,NA,12.600000000000001,13.600000000000001,13.600000000000001
2023,1,2023_01_ARI_WAS,00-0038611,C.Rodriguez,WAS,3,7,0,0,0,-0.27890417573507875,-0.09296805857835962,0,0,2,1,1,0,0,0,28,2.3333333333333335,0,0.10714285714285714,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7000000000000001,0.7000000000000001,0.7000000000000001
2023,1,2023_01_BUF_NYJ,00-0030513,L.Murray,BUF,2,8,0,0,0,-0.030656790593639016,-0.015328395296819508,0,1,0,0,0,0,0,0,22,4,0,0.09090909090909091,0,0,0,0,2,1,9,0,0.5,0.044444444444444446,4,8,0.5,NA,NA,NA,1.7000000000000002,2.7,2.7
2023,1,2023_01_BUF_NYJ,00-0033893,D.Cook,NYJ,13,33,0,0,0,-3.633846827840898,-0.27952667906468454,0,5,2,1,5,0,0,0,26,2.5384615384615383,0,0.5,0,0.5,0,0,3,3,26,0,1,0.12,-5,31,0,5.758787878787879,-1.7487768960070582,NA,5.9,8.9,8.9
