season,week,game_id,receiver_player_id,player_name,team,targets,receptions,receiving_yards,receiving_tds,air_yards,yac,completed_air_yards,rec_epa,explosive_catches,drops,first_down_targets,third_down_targets,third_down_conversions,red_zone_targets,red_zone_tds,team_pass_attempts,catch_rate,target_share,yards_per_target,yards_per_reception,air_yards_per_target,yac_per_reception,rec_epa_per_target,explosive_rate,drop_rate,racr,wopr,avg_separation,avg_cushion,yac_above_expected,fantasy_points_std,fantasy_points_ppr,fantasy_points_per_game
2023,1,2023_01_ARI_WAS,00-0030061,Z.Ertz,ARI,10,6,21,0,56,6,336,-3.3606025351883275,0,4,3,4,1,2,0,33,0.6,0.30303030303030304,2.1,3.5,5.6,1,-0.33606025351883273,0,0.4,0.375,15.5,1.480500571314145,8.011666666666667,-0.21528993431044552,2.1,8.1,8.1
2023,1,2023_01_ARI_WAS,00-0031260,L.Thomas,WAS,8,4,43,0,47,12,188,-0.9567330903955735,0,4,3,1,0,0,0,37,0.5,0.21621621621621623,5.375,10.75,5.875,3,-0.11959163629944669,0,0.5,0.9148936170212766,25.5,2.8212830854726043,7.5725,0.7116513852291337,4.3,8.3,8.3
2023,1,2023_01_ARI_WAS,00-0037078,C.Turner,WAS,2,1,17,0,27,1,27,1.2270133298588917,0,1,1,0,0,0,0,37,0.5,0.05405405405405406,8.5,17,13.5,1,0.6135066649294458,0,0.5,0.6296296296296297,9.5,NA,NA,NA,1.7000000000000002,2.7,2.7
2023,1,2023_01_ARI_WAS,00-0037744,T.McBride,ARI,2,2,23,0,14,9,28,1.5979559590341523,0,0,1,0,0,0,0,33,1,0.06060606060606061,11.5,11.5,7,4.5,0.7989779795170762,0,0,1.6428571428571428,12.5,NA,NA,NA,2.3000000000000003,4.300000000000001,4.300000000000001
2023,1,2023_01_BUF_NYJ,00-0034270,T.Conklin,NYJ,1,1,2,0,-2,4,-2,-0.47521815448999405,0,0,1,0,0,0,0,25,1,0.04,2,2,-2,4,-0.47521815448999405,0,0,2,1.5,NA,NA,NA,0.2,1.2,1.2
2023,1,2023_01_BUF_NYJ,00-0035689,D.Knox,BUF,4,3,25,0,28,10,84,1.2140105839353055,0,1,2,0,0,0,0,45,0.75,0.08888888888888889,6.25,8.333333333333334,7,3.3333333333333335,0.30350264598382637,0,0.25,0.8928571428571429,14.5,NA,NA,NA,2.5,5.5,5.5
2023,1,2023_01_BUF_NYJ,00-0038933,D.Kincaid,BUF,4,4,26,0,5,21,20,1.578823934076354,0,0,2,0,0,0,0,45,1,0.08888888888888889,6.5,6.5,1.25,5.25,0.3947059835190885,0,0,5.2,15,NA,NA,NA,2.6,6.6,6.6
2023,1,2023_01_CAR_ATL,00-0034830,H.Hurst,CAR,7,5,41,1,57,13,285,-0.23103908373741433,0,1,3,1,1,2,1,40,0.7142857142857143,0.175,5.857142857142857,8.2,8.142857142857142,2.6,-0.03300558339105919,0,0.14285714285714285,0.7192982456140351,24,2.7403138818243584,8.061666666666666,-1.0741655411367104,10.100000000000001,15.100000000000001,15.100000000000001
2023,1,2023_01_CAR_ATL,00-0035956,G.Ricci,CAR,1,1,2,0,-1,3,-1,-0.48964928975328803,0,0,1,0,0,0,0,40,1,0.025,2,2,-1,3,-0.48964928975328803,0,0,2,1.5,NA,NA,NA,0.2,1.2,1.2
2023,1,2023_01_CAR_ATL,00-0036970,K.Pitts,ATL,3,2,44,0,52,7,104,2.7848150630888995,1,1,0,0,0,0,0,22,0.6666666666666666,0.13636363636363635,14.666666666666666,22,17.333333333333332,3.5,0.9282716876962999,0.5,0.3333333333333333,0.8461538461538461,23.5,NA,NA,NA,4.4,6.4,6.4
