"","game_id","season","week","game_type","gameday","home_team","away_team","home_score","away_score","total","result","overtime_game","spread_line","total_line","home_moneyline","away_moneyline","home_spread_result","away_spread_result","home_spread_cover","away_spread_cover","spread_push","total_result","over_hit","under_hit","total_push","home_favored","favorite_team","underdog_team","favorite_spread","favorite_won","favorite_covered","underdog_covered","temp","wind","weather_category","wind_category","roof","surface","total_scoring_category","blowout","close_game","home_rest","away_rest","rest_advantage","rest_advantage_category","division_game","location"
"1","2022_01_BUF_LA",2022,1,"REG","2022-09-08","LA","BUF",10,31,41,-21,FALSE,-1,51.5,106,-117,-20,20,FALSE,TRUE,FALSE,-10.5,FALSE,TRUE,FALSE,TRUE,"LA","BUF",-1,FALSE,FALSE,TRUE,NA,NA,"Indoor","Unknown","dome","matrixturf","Average Scoring",TRUE,FALSE,7,7,0,"Equal Rest",FALSE,"Home"
"2","2022_01_NO_ATL",2022,1,"REG","2022-09-11","ATL","NO",26,27,53,-1,FALSE,-6,43.5,201,-228,5,-5,TRUE,FALSE,FALSE,9.5,TRUE,FALSE,FALSE,TRUE,"ATL","NO",-6,FALSE,TRUE,FALSE,NA,NA,"Indoor","Unknown","closed","fieldturf","Very High Scoring",FALSE,TRUE,7,7,0,"Equal Rest",TRUE,"Home"
"3","2022_01_CLE_CAR",2022,1,"REG","2022-09-11","CAR","CLE",24,26,50,-2,FALSE,2.5,42.5,-125,114,-4.5,4.5,FALSE,TRUE,FALSE,7.5,TRUE,FALSE,FALSE,FALSE,"CLE","CAR",-2.5,TRUE,TRUE,FALSE,NA,NA,"Unknown","Unknown","outdoors","grass","High Scoring",FALSE,TRUE,7,7,0,"Equal Rest",FALSE,"Home"
"4","2022_01_SF_CHI",2022,1,"REG","2022-09-11","CHI","SF",19,10,29,9,FALSE,-6.5,38,217,-248,15.5,-15.5,TRUE,FALSE,FALSE,-9,FALSE,TRUE,FALSE,TRUE,"CHI","SF",-6.5,TRUE,TRUE,FALSE,NA,NA,"Unknown","Unknown","outdoors","grass","Low Scoring",FALSE,FALSE,7,7,0,"Equal Rest",FALSE,"Home"
"5","2022_01_PIT_CIN",2022,1,"REG","2022-09-11","CIN","PIT",20,23,43,-3,TRUE,7.5,44.5,-308,264,-10.5,10.5,FALSE,TRUE,FALSE,-1.5,FALSE,TRUE,FALSE,FALSE,"PIT","CIN",-7.5,TRUE,TRUE,FALSE,NA,NA,"Unknown","Unknown","outdoors","fieldturf","Average Scoring",FALSE,TRUE,7,7,0,"Equal Rest",TRUE,"Home"
"6","2022_01_PHI_DET",2022,1,"REG","2022-09-11","DET","PHI",35,38,73,-3,FALSE,-6,49,211,-240,3,-3,TRUE,FALSE,FALSE,24,TRUE,FALSE,FALSE,TRUE,"DET","PHI",-6,FALSE,TRUE,FALSE,NA,NA,"Indoor","Unknown","dome","fieldturf","Very High Scoring",FALSE,TRUE,7,7,0,"Equal Rest",FALSE,"Home"
"7","2022_01_IND_HOU",2022,1,"REG","2022-09-11","HOU","IND",20,20,40,0,TRUE,-7,46,250,-290,7,-7,TRUE,FALSE,FALSE,-6,FALSE,TRUE,FALSE,TRUE,"HOU","IND",-7,FALSE,TRUE,FALSE,NA,NA,"Indoor","Unknown","closed","astroturf","Average Scoring",FALSE,TRUE,7,7,0,"Equal Rest",TRUE,"Home"
"8","2022_01_NE_MIA",2022,1,"REG","2022-09-11","MIA","NE",20,7,27,13,FALSE,3,47,-155,140,10,-10,TRUE,FALSE,FALSE,-20,FALSE,TRUE,FALSE,FALSE,"NE","MIA",-3,FALSE,FALSE,TRUE,NA,NA,"Unknown","Unknown","outdoors","grass","Low Scoring",FALSE,FALSE,7,7,0,"Equal Rest",TRUE,"Home"
"9","2022_01_BAL_NYJ",2022,1,"REG","2022-09-11","NYJ","BAL",9,24,33,-15,FALSE,-6.5,44,231,-265,-8.5,8.5,FALSE,TRUE,FALSE,-11,FALSE,TRUE,FALSE,TRUE,"NYJ","BAL",-6.5,FALSE,FALSE,TRUE,NA,NA,"Unknown","Unknown","outdoors","fieldturf","Low Scoring",TRUE,FALSE,7,7,0,"Equal Rest",FALSE,"Home"
"10","2022_01_JAX_WAS",2022,1,"REG","2022-09-11","WAS","JAX",28,22,50,6,FALSE,3,43.5,-159,143,3,-3,TRUE,FALSE,FALSE,6.5,TRUE,FALSE,FALSE,FALSE,"JAX","WAS",-3,FALSE,FALSE,TRUE,NA,NA,"Unknown","Unknown","outdoors","grass","High Scoring",FALSE,FALSE,7,7,0,"Equal Rest",FALSE,"Home"
