"","player_name","season","team","games","total_attempts","total_completions","total_passing_yards","total_passing_tds","total_interceptions","completion_pct","yards_per_attempt","yards_per_game","total_passing_epa","pass_epa_per_att","avg_cpoe","td_pct","int_pct","total_sacks","sack_rate","avg_time_to_throw","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","total_fantasy_points","fantasy_points_per_game"
"1","A.Brown",2022,"BAL",2,49,22,302,0,2,44.8979591836735,6.16326530612245,151,-16.465219842052,-0.336024894735755,-14.2438900741664,0,4.08163265306122,5,9.25925925925926,2.68621428571429,3,-5,0,-1.66666666666667,5.58,2.79
"2","A.Dalton",2022,"NO",14,378,252,2871,18,9,66.6666666666667,7.5952380952381,205.071428571429,17.9905970400699,0.0475941720636771,0.99973051596552,4.76190476190476,2.38095238095238,25,6.20347394540943,2.62735532081644,30,54,0,1.8,174.24,12.4457142857143
"3","A.Dalton",2023,"CAR",2,58,34,361,2,0,58.6206896551724,6.22413793103448,180.5,4.54832959122722,0.0784194757108141,-6.06630519032479,3.44827586206897,0,3,4.91803278688525,2.49910344827586,3,12,0,4,23.64,11.82
"4","A.Dalton",2024,"CAR",6,160,106,989,7,6,66.25,6.18125,164.833333333333,-18.0958913262782,-0.113099320789238,-1.42544916543706,4.375,3.75,7,4.19161676646707,2.58178751981305,11,34,0,3.09090909090909,58.96,9.82666666666667
"5","A.McCarron",2023,"CIN",2,5,4,19,0,0,80,3.8,9.5,-5.25107204460073,-1.05021440892015,NA,0,0,1,16.6666666666667,NA,0,0,0,NA,0.76,0.38
"6","A.O'Connell",2023,"LV",11,343,213,2218,12,7,62.0991253644315,6.466472303207,201.636363636364,-16.8526077894484,-0.0491329673161762,-2.9730132543951,3.49854227405248,2.04081632653061,24,6.53950953678474,2.79536294295078,17,11,1,0.647058823529412,125.82,11.4381818181818
"7","A.O'Connell",2024,"LV",9,243,154,1612,8,4,63.3744855967078,6.63374485596708,179.111111111111,4.30266368198077,0.0177064349052707,1.11139048982574,3.29218106995885,1.64609053497942,10,3.95256916996047,2.93379672553232,21,30,1,1.42857142857143,93.48,10.3866666666667
"8","A.Richardson",2023,"IND",4,84,50,577,3,1,59.5238095238095,6.86904761904762,144.25,4.58779128707211,0.0546165629413347,-10.0473310166114,3.57142857142857,1.19047619047619,7,7.69230769230769,2.78650918918919,25,136,4,5.44,72.68,18.17
"9","A.Richardson",2024,"IND",11,264,126,1814,8,12,47.7272727272727,6.87121212121212,164.909090909091,-38.2182161869027,-0.144765970404934,-11.1521382373154,3.03030303030303,4.54545454545455,14,5.03597122302158,2.96057130046116,86,499,6,5.80232558139535,162.36,14.76
"10","A.Rodgers",2022,"GB",17,542,350,3695,26,12,64.5756457564576,6.81734317343173,217.352941176471,-6.30994553598328,-0.0116419659335485,-1.1740499841215,4.7970479704797,2.2140221402214,32,5.57491289198606,2.70133205279574,34,94,1,2.76470588235294,239.2,14.0705882352941
"11","A.Rodgers",2023,"NYJ",1,1,0,0,0,0,0,0,0,-2.03195988433436,-2.03195988433436,NA,0,0,1,50,NA,0,0,0,NA,0,0
"12","A.Rodgers",2024,"NYJ",17,584,368,3897,28,11,63.013698630137,6.67294520547945,229.235294117647,10.1309934533945,0.0173475915297851,-4.75497559603978,4.7945205479452,1.88356164383562,40,6.41025641025641,2.68949773104497,22,107,0,4.86363636363636,256.58,15.0929411764706
"13","B.Allen",2022,"CIN",1,3,3,22,0,0,100,7.33333333333333,22,-0.688253925150088,-0.229417975050029,NA,0,0,1,25,NA,3,-1,0,-0.333333333333333,0.78,0.78
"14","B.Allen",2024,"SF",3,30,17,199,1,2,56.6666666666667,6.63333333333333,66.3333333333333,-12.3541775473619,-0.411805918245395,-6.45551393771994,3.33333333333333,6.66666666666667,2,6.25,2.80158620689655,3,4,0,1.33333333333333,6.36,2.12
"15","B.Gabbert",2022,"TB",1,8,6,29,1,0,75,3.625,29,0.21524419792695,0.0269055247408687,NA,12.5,0,0,0,NA,0,0,0,NA,5.16,5.16
"16","B.Gabbert",2023,"KC",2,35,18,185,0,3,51.4285714285714,5.28571428571429,92.5,-16.1432871051638,-0.461236774433251,-15.3005192304651,0,8.57142857142857,1,2.77777777777778,2.31926666666667,7,45,0,6.42857142857143,5.9,2.95
"17","B.Hoyer",2022,"NE",1,6,5,37,0,0,83.3333333333333,6.16666666666667,37,-2.12652387350423,-0.354420645584038,NA,0,0,1,14.2857142857143,NA,0,0,0,NA,1.48,1.48
"18","B.Hoyer",2023,"LV",2,42,23,231,0,2,54.7619047619048,5.5,115.5,-8.7807727533644,-0.209066017937248,-13.837138004601,0,4.76190476190476,1,2.32558139534884,2.3856875,3,-3,0,-1,4.94,2.47
"19","B.Mayfield",2022,"CAR",7,206,119,1313,6,6,57.7669902912621,6.37378640776699,187.571428571429,-39.7311944476282,-0.19286987595936,-8.44290281412143,2.9126213592233,2.9126213592233,19,8.44444444444444,2.72101729130384,16,52,1,3.25,73.72,10.5314285714286
"20","B.Mayfield",2022,"LA",5,129,82,850,4,2,63.5658914728682,6.5891472868217,170,-10.6105027354793,-0.082251959189762,-5.31407165897647,3.10077519379845,1.55038759689922,17,11.6438356164384,3.01486139557037,15,37,0,2.46666666666667,47.7,9.54
