Pick,Value
1,3000
2,2600
3,2200
4,1800
5,1700
6,1600
7,1500
8,1400
9,1350
10,1300
11,1250
12,1200
13,1150
14,1100
15,1050
16,1000
17,950
18,900
19,875
20,850
21,800
22,780
23,760
24,740
25,720
26,700
27,680
28,660
29,640
30,620
31,600
32,590
33,580
34,560
35,550
36,540
37,530
38,520
39,510
40,500
41,490
42,480
43,470
44,460
45,450
46,440
47,430
48,420
49,410
50,400
51,390
52,380
53,370
54,360
55,350
56,340
57,330
58,320
59,310
60,300
61,292
62,284
63,276
64,270
65,265
66,260
67,255
68,250
69,245
70,240
71,235
72,230
73,225
74,220
75,215
76,210
77,205
78,200
79,195
80,190
81,185
82,180
83,175
84,170
85,165
86,160
87,155
88,150
89,145
90,140
91,136
92,132
93,128
94,124
95,120
96,116
97,112
98,108
99,104
100,100
101,96
102,92
103,88
104,86
105,84
106,82
107,80
108,78
109,76
110,74
111,72
112,70
113,68
114,66
115,64
116,62
117,60
118,58
119,56
120,54
121,52
122,50
123,49
124,48
125,47
126,46
127,45
128,44
129,43
130,42
131,41
132,40
133,39.5
134,39
135,38.5
136,38
137,37.5
138,37
139,36.5
140,36
141,35.5
142,35
143,34.5
144,34
145,33.5
146,33
147,32.6
148,32.2
149,31.8
150,31.4
151,31
152,30.6
153,30.2
154,29.8
155,29.4
156,29
157,28.6
158,28.2
159,27.8
160,27.4
161,27
162,26.6
163,26.2
164,25.8
165,25.4
166,25
167,24.6
168,24.2
169,23.8
170,23.4
171,23
172,22.6
173,22.2
174,21.8
175,21.4
176,21
177,20.6
178,20.2
179,19.8
180,19.4
181,19
182,18.6
183,18.2
184,17.8
185,17.4
186,17
187,16.6
188,16.2
189,15.8
190,15.4
191,15
192,14.6
193,14.2
194,13.8
195,13.4
196,13
197,12.6
198,12.2
199,11.8
200,11.4
201,11
202,10.6
203,10.2
204,9.8
205,9.4
206,9
207,8.6
208,8.2
209,7.8
210,7.4
211,7
212,6.6
213,6.2
214,5.8
215,5.4
216,5
217,4.6
218,4.2
219,3.8
220,3.4
221,3
222,2.6
223,2.3
224,2
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
