"playerId","name","position","team","season","age","experience","jersey_number","height","weight","college","status","contract_status","contractYearsRemaining","marketValue","overallRating","annualSalary","positionImportance","ageTier","isRookie","isVeteran","isActive","hasInjuryConcerns","durabilityScore","entry_year","rookie_year"
"Aaron_Rodgers_NYJ_2024","Aaron Rodgers","QB","NYJ",2024,41,19,8,"74",225,"California","ACT","veteran",3,26.2,88,3.9,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2005,2005
"Marcedes_Lewis_CHI_2024","Marcedes Lewis","TE","CHI",2024,40,18,84,"78",267,"UCLA","ACT","veteran",2,9,85,1.3,0.55,"aging",FALSE,TRUE,TRUE,FALSE,85,2006,2006
"J.J._Jansen_CAR_2024","J.J. Jansen","LS","CAR",2024,38,16,44,"74",235,"Notre Dame","ACT","veteran",3,7.5,85,1.1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2008,2008
"Joe_Flacco_IND_2024","Joe Flacco","QB","IND",2024,39,16,15,"78",245,"Delaware","ACT","veteran",3,26.2,88,3.9,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2008,2008
"Calais_Campbell_MIA_2024","Calais Campbell","DL","MIA",2024,38,16,93,"80",300,"Miami","ACT","veteran",3,7.5,85,1.1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2008,2008
"Josh_Johnson_BAL_2024","Josh Johnson","QB","BAL",2024,38,16,17,"75",219,"San Diego","ACT","veteran",3,26.2,88,3.9,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2008,2008
"Matthew_Stafford_LA_2024","Matthew Stafford","QB","LA",2024,36,15,9,"75",220,"Georgia","ACT","veteran",2,25.4,88,3.8,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2009,2009
"Graham_Gano_NYG_2024","Graham Gano","K","NYG",2024,37,15,9,"74",202,"Florida State","ACT","veteran",2,2.9,85,0.4,0.2,"aging",FALSE,TRUE,TRUE,FALSE,85,2009,2009
"Thomas_Morstead_NYJ_2024","Thomas Morstead","P","NYJ",2024,38,15,6,"76",235,"Southern Methodist","ACT","veteran",2,2.2,85,0.3,0.15,"aging",FALSE,TRUE,TRUE,FALSE,85,2009,2009
"Matt_Overton_MIA_2024","Matt Overton","LS","MIA",2024,39,14,49,"73",243,"Western Washington","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Jon_Weeks_HOU_2024","Jon Weeks","LS","HOU",2024,38,14,46,"70",242,"Baylor","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Morgan_Cox_TEN_2024","Morgan Cox","LS","TEN",2024,38,14,46,"76",233,"Tennessee","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Brandon_Graham_PHI_2024","Brandon Graham","DL","PHI",2024,36,14,55,"74",265,"Michigan","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Kareem_Jackson_BUF_2024","Kareem Jackson","DB","BUF",2024,36,14,27,"70",185,"Alabama","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Linval_Joseph_DAL_2024","Linval Joseph","DL","DAL",2024,36,14,93,"76",329,"East Carolina","ACT","veteran",4,7,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2010,2010
"Von_Miller_BUF_2024","Von Miller","DL","BUF",2024,35,13,40,"75",250,"Texas A&amp;M","ACT","veteran",3,6.8,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Cameron_Jordan_NO_2024","Cameron Jordan","DL","NO",2024,35,13,94,"76",287,"California","ACT","veteran",3,6.8,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Cameron_Heyward_PIT_2024","Cameron Heyward","DL","PIT",2024,35,13,97,"77",295,"Ohio State","ACT","veteran",3,6.8,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Andy_Dalton_CAR_2024","Andy Dalton","QB","CAR",2024,37,13,14,"74",220,"Texas Christian","ACT","veteran",3,23.6,88,3.5,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Tyrod_Taylor_NYJ_2024","Tyrod Taylor","QB","NYJ",2024,35,13,2,"73",215,"Virginia Tech","ACT","veteran",3,23.6,88,3.5,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Nick_Bellore_WAS_2024","Nick Bellore","LB","WAS",2024,35,13,57,"73",250,"Central Michigan","ACT","veteran",3,8.1,85,1.2,0.6,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Jake_McQuaide_MIA_2024","Jake McQuaide","LS","MIA",2024,37,13,47,"74",235,"Ohio State","ACT","veteran",3,6.8,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2011,2011
"Josh_Harris_LAC_2024","Josh Harris","LS","LAC",2024,35,12,47,"73",224,"Auburn","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Johnny_Hekker_CAR_2024","Johnny Hekker","P","CAR",2024,34,12,10,"77",241,"Oregon State","ACT","veteran",2,2,85,0.3,0.15,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Rodney_McLeod_Jr._CLE_2024","Rodney McLeod Jr.","DB","CLE",2024,34,12,12,"70",195,"Virginia","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Tashaun_Gipson_SF_2024","Tashaun Gipson","DB","SF",2024,34,12,43,"73",212,"Wyoming","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Aaron_Brewer_ARI_2024","Aaron Brewer","LS","ARI",2024,34,12,46,"77",232,"San Diego State","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Bobby_Wagner_WAS_2024","Bobby Wagner","LB","WAS",2024,34,12,54,"72",242,"Utah State","ACT","veteran",2,7.8,85,1.2,0.6,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Russell_Wilson_PIT_2024","Russell Wilson","QB","PIT",2024,36,12,3,"71",215,"Wisconsin","ACT","veteran",2,22.8,88,3.4,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Kelvin_Beachum_ARI_2024","Kelvin Beachum","OL","ARI",2024,35,12,68,"75",308,"Southern Methodist","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Stephon_Gilmore_MIN_2024","Stephon Gilmore","DB","MIN",2024,34,12,2,"72",202,"South Carolina","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Lavonte_David_TB_2024","Lavonte David","LB","TB",2024,34,12,54,"73",233,"Nebraska","ACT","veteran",2,7.8,85,1.2,0.6,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Justin_Tucker_BAL_2024","Justin Tucker","K","BAL",2024,35,12,9,"73",183,"Texas","ACT","veteran",2,2.6,85,0.4,0.2,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Kirk_Cousins_ATL_2024","Kirk Cousins","QB","ATL",2024,36,12,18,"75",202,"Michigan State","ACT","veteran",2,22.8,88,3.4,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Harrison_Smith_MIN_2024","Harrison Smith","DB","MIN",2024,35,12,22,"74",214,"Notre Dame","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Demario_Davis_NO_2024","Demario Davis","LB","NO",2024,35,12,56,"74",248,"Arkansas State","ACT","veteran",2,7.8,85,1.2,0.6,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Greg_Van_Roten_NYG_2024","Greg Van Roten","OL","NYG",2024,34,12,74,"76",305,"Pennsylvania","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Bryan_Anger_DAL_2024","Bryan Anger","P","DAL",2024,36,12,5,"75",205,"California","ACT","veteran",2,2,85,0.3,0.15,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Andrew_DePaola_MIN_2024","Andrew DePaola","LS","MIN",2024,37,12,42,"73",230,"Rutgers","ACT","veteran",2,6.5,85,1,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2012,2012
"Brandon_McManus_GB_2024","Brandon McManus","K","GB",2024,33,11,17,"75",201,"Temple","ACT","veteran",4,3.5,85,0.5,0.2,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Kyle_Juszczyk_SF_2024","Kyle Juszczyk","RB","SF",2024,33,11,44,"74",240,"Harvard","ACT","veteran",4,13.1,85,2,0.5,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Chris_Hubbard_NYG_2024","Chris Hubbard","OL","NYG",2024,33,11,70,"76",295,"Alabama-Birmingham","ACT","veteran",4,8.8,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Adam_Thielen_CAR_2024","Adam Thielen","WR","CAR",2024,34,11,19,"74",200,"Minn. State-Mankato","ACT","veteran",4,12.5,85,1.9,0.75,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Zach_Ertz_WAS_2024","Zach Ertz","TE","WAS",2024,34,11,86,"77",250,"Stanford","ACT","veteran",4,7.5,85,1.1,0.55,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Darius_Slay_PHI_2024","Darius Slay","DB","PHI",2024,33,11,2,"72",190,"Mississippi State","ACT","veteran",4,8.8,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Johnathan_Hankins_SEA_2024","Johnathan Hankins","DL","SEA",2024,32,11,97,"75",340,"Ohio State","ACT","veteran",4,8.8,95,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Terron_Armstead_MIA_2024","Terron Armstead","OL","MIA",2024,33,11,72,"77",304,"Arkansas-Pine Bluff","ACT","veteran",4,8.8,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
