season,team,full_name,position,jersey_number,depth_chart_position,depth_chart_order,week,formation,position_group,years_exp,height,weight,college,depth_chart_position_clean
2020,ARI,Mason Cole,C,61,C,1,18,Offense,Offensive Line,NA,NA,NA,NA,C
2020,ARI,Lamont Gaillard,C,61,C,2,16,Offense,Offensive Line,NA,NA,NA,NA,C2
2020,ARI,Dre Kirkpatrick,CB,13,CB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,ARI,Patrick Peterson,CB,20,CB,1,18,Defense,Defensive Back,NA,NA,NA,NA,CB1
2020,ARI,Byron Murphy,CB,7,CB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,ARI,De'Vante Bausby,CB,32,CB,2,10,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,ARI,Johnathan Joseph,CB,25,CB,2,14,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,ARI,Kevin Peterson,CB,27,CB,2,18,Defense,Defensive Back,NA,NA,NA,NA,CB2
2020,ARI,Jace Whittaker,CB,0,CB,3,13,Defense,Defensive Back,NA,NA,NA,NA,CB3
2020,ARI,Chandler Jones,DE,55,OLB,1,6,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,ARI,Josh Mauro,DE,96,DT,1,12,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,ARI,Zach Allen,DE,99,DT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DE1
2020,ARI,Michael Dogbe,DE,96,DT,2,13,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,ARI,Stacy McGee,DE,65,DT,2,18,Defense,Defensive Line,NA,NA,NA,NA,DE2
2020,ARI,Angelo Blackson,DT,90,DT,1,18,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,ARI,Corey Peters,DT,98,NT,1,11,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,ARI,Jordan Phillips,DT,99,DT,1,11,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,ARI,Trevon Coley,DT,79,DT,1,14,Defense,Defensive Line,NA,NA,NA,NA,DT1
2020,ARI,Jalen Thompson,FS,34,S,1,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,ARI,Chris Banjo,FS,31,S,2,17,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,ARI,Charles Washington,FS,28,S,3,18,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,ARI,Curtis Riley,FS,37,S,3,6,Defense,Defensive Back,NA,NA,NA,NA,FS
2020,ARI,Justin Pugh,G,67,LG,1,18,Offense,Offensive Line,NA,NA,NA,NA,LG
2020,ARI,J.R. Sweezy,G,63,RG,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,ARI,Josh Jones,G,74,LT,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,ARI,Max Garcia,G,73,LG,2,18,Offense,Offensive Line,NA,NA,NA,NA,RG
2020,ARI,De'Vondre Campbell,ILB,59,ILB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,ARI,Jordan Hicks,ILB,58,ILB,1,18,Defense,Linebacker,NA,NA,NA,NA,ILB
2020,ARI,Tanner Vallejo,ILB,54,ILB,2,18,Defense,Linebacker,NA,NA,NA,NA,ILB2
2020,ARI,Terrance Smith,ILB,54,OLB,2,18,Defense,Linebacker,NA,NA,NA,NA,ILB2
2020,ARI,Ezekiel Turner,ILB,47,ILB,3,18,Defense,Linebacker,NA,NA,NA,NA,ILB3
2020,ARI,Mike Nugent,K,2,K,1,18,Special Teams,Kicker,NA,NA,NA,NA,K
2020,ARI,Zane Gonzalez,K,10,K,1,14,Special Teams,Kicker,NA,NA,NA,NA,K
