"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","tgt_rank","YPG_rank","td_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","first_down_rank","yacOE_rank","YACperRec_rank","myRank","myRankNum","qbTier"
"00-0033908","C.Kupp","LA",2021,17,112.935847675216,0.588207539975083,17,192,145,1949,90,0.46875,8.52941176470588,11.2941176470588,114.647058823529,0.755208333333333,846,5.83448275862069,8.59162303664921,"Cooper Kupp",0.299531981279251,1,39,0.333,0.223958333333333,"WR",3.64328719409047,8.57590450532597,76.840025224128,1.62824983581354,42,26,0.619047619047619,0.94047619047619,1,1,0.994047619047619,0.708074534161491,0.75796178343949,0.886904761904762,0.261904761904762,0.922619047619048,0.928571428571429,0.898809523809524,0.892857142857143,0.838323353293413,0.941123780646169,1,1
"00-0033040","T.Hill","MIA",2023,16,91.7488312851281,0.533423437704234,14,172,119,1799,83,0.482558139534884,7.4375,10.75,112.4375,0.691860465116279,652,5.47899159663866,10.8011695906433,"Tyreek Hill",0.302816901408451,1,26,0.154,0.308139534883721,"WR",3.24705589208186,11.0824660057292,69.5571071228966,0.858065477589779,46,29,0.630434782608696,0.952054794520548,1,1,0.993150684931507,0.377777777777778,0.95,0.773972602739726,0.561643835616438,0.794520547945205,0.958620689655172,0.931506849315068,0.662068965517241,0.801369863013699,0.93895324597975,1,1
"00-0039067","R.Rice","KC",2024,3,16.4732722085319,0.568043869259719,2,29,24,288,15,0.517241379310345,8,9.66666666666667,96,0.827586206896552,186,7.75,5.20689655172414,"Rashee Rice",0.224806201550388,1,2,0.5,0.241379310344828,"WR",4.2366913172697,5.06304232804233,82.2751322751323,2.11414416847667,5,3,0.6,0.894736842105263,0.862595419847328,0.993421052631579,0.953947368421053,0.841379310344828,0.797202797202797,0.960526315789474,0.0394736842105263,0.986842105263158,0.921052631578947,0.967105263157895,0.914473684210526,0.93421052631579,0.910142381724342,1,1
"00-0033921","C.Godwin","TB",2024,7,35.5114577961204,0.572765448324522,5,62,50,585,33,0.532258064516129,7.14285714285714,8.85714285714286,83.5714285714286,0.806451612903226,350,7,5.74193548387097,"Chris Godwin",0.24124513618677,1,7,0.429,0.225806451612903,"WR",3.28883776937588,5.71591781258616,80.900623793769,1.98453883575182,21,14,0.666666666666667,0.901315789473684,0.916030534351145,0.967105263157895,0.960526315789474,0.8,0.727272727272727,0.743421052631579,0.0657894736842105,0.967105263157895,0.967105263157895,0.993421052631579,0.901315789473684,0.901315789473684,0.904218866040883,2,1
"00-0036358","C.Lamb","DAL",2023,17,103.51998511857,0.568791127025112,12,182,135,1751,82,0.450549450549451,7.94117647058824,10.7058823529412,103,0.741758241758242,680,5.03703703703704,9.51381215469614,"CeeDee Lamb",0.277016742770167,1,33,0.273,0.252747252747253,"WR",2.65566503603791,9.89573206947935,72.064298287825,0.490415353115855,46,29,0.630434782608696,0.958904109589041,0.978571428571429,0.986301369863014,0.972602739726027,0.622222222222222,0.814285714285714,0.349315068493151,0.376712328767123,0.856164383561644,0.958620689655172,0.863013698630137,0.537931034482759,0.691780821917808,0.898429762613801,2,1
"00-0036963","A.St. Brown","DET",2024,17,96.3815029409275,0.683556758446295,14,141,115,1354,75,0.531914893617021,6.76470588235294,8.29411764705882,79.6470588235294,0.815602836879433,412,3.58260869565217,7.66666666666667,"Amon-Ra St. Brown",0.242268041237113,1,32,0.281,0.24113475177305,"WR",3.10758435532162,7.96316405969222,82.0082146333711,0.537479585742858,41,26,0.634146341463415,1,0.931297709923664,0.94078947368421,0.986842105263158,0.620689655172414,0.79020979020979,0.605263157894737,0.177631578947368,0.980263157894737,0.947368421052632,0.986842105263158,0.506578947368421,0.44078947368421,0.894319453831551,3,1
"00-0031381","D.Adams","GB",2020,14,77.433598191829,0.519688578468651,19,149,115,1374,74,0.496644295302013,8.21428571428571,10.6428571428571,98.1428571428571,0.771812080536913,597,5.19130434782609,8.9261744966443,"Davante Adams",0.312368972746331,1,28,0.5,0.187919463087248,"WR",3.14630346339075,8.59763578472496,76.4915598319356,0.0108555839297611,42,24,0.571428571428571,0.836363636363636,1,1,1,0.883116883116883,0.474683544303797,0.654545454545455,0.254545454545455,0.903030303030303,0.842424242424242,0.866666666666667,0.381818181818182,0.74390243902439,0.892834061071171,1,1
"00-0036963","A.St. Brown","DET",2023,16,71.3439331420671,0.432387473588285,11,165,119,1515,75,0.454545454545455,7.4375,10.3125,94.6875,0.721212121212121,668,5.61344537815126,7.75,"Amon-Ra St. Brown",0.271381578947368,1,26,0.231,0.212121212121212,"WR",3.17168796919207,8.0371584189826,70.3887478767132,1.11858702712462,39,19,0.487179487179487,0.876712328767123,0.964285714285714,0.972602739726027,0.965753424657534,0.503703703703704,0.657142857142857,0.732876712328767,0.184931506849315,0.835616438356164,0.724137931034483,0.876712328767123,0.710344827586207,0.828767123287671,0.889114355963671,3,1
"00-0036900","J.Chase","CIN",2024,17,77.0104412978267,0.44005966455901,18,175,127,1708,75,0.428571428571429,7.47058823529412,10.2941176470588,100.470588235294,0.725714285714286,787,6.19685039370079,8.72,"Ja'Marr Chase",0.249643366619116,1,36,0.222,0.205714285714286,"WR",3.20388131201399,8.67346711496564,74.1657496461418,2.86558556704266,36,17,0.472222222222222,0.822368421052632,0.946564885496183,1,1,0.468965517241379,0.58041958041958,0.68421052631579,0.256578947368421,0.868421052631579,0.664473684210526,0.75,0.967105263157895,0.848684210526316,0.885366119862906,4,1
"00-0031381","D.Adams","GB",2021,16,71.9658801830014,0.425833610550304,11,169,123,1553,84,0.497041420118343,7.6875,10.5625,97.0625,0.727810650887574,601,4.88617886178862,9.55029585798816,"Davante Adams",0.287904599659284,1,28,0.357,0.236686390532544,"WR",3.07048320439873,8.87214756421167,75.4067590766309,0.556564942859447,47,23,0.48936170212766,0.785714285714286,0.993288590604027,0.994047619047619,0.958333333333333,0.795031055900621,0.802547770700637,0.589285714285714,0.273809523809524,0.916666666666667,0.68452380952381,0.946428571428571,0.577380952380952,0.718562874251497,0.882812287855747,2,1
