name,season,team,position,sacks,qb_hits,tfls,forced_fumbles,third_down_pressures,def_snaps,games_played,snap_pct,sacks_per_game,qb_hits_per_game,pressure_rate,tfls_per_game,composite_rank,ranking,tier
M.Golden,2016,ARI,OLB,12.5,22,16,4,19,761,16,0.710625,0.78125,1.375,4.5335085413929,1,0.945720508439344,1,1
V.Miller,2016,DEN,OLB,13.5,25,13,3,16,932,16,0.815,0.84375,1.5625,4.13090128755365,0.8125,0.936612170049023,2,1
K.Mack,2016,OAK,DE,11,26,14,5,8,1022,17,0.909411764705882,0.647058823529412,1.52941176470588,3.62035225048924,0.823529411764706,0.907055462805272,3,1
L.Alexander,2016,BUF,OLB,12.5,22,10,3,13,785,16,0.7375,0.78125,1.375,4.39490445859873,0.625,0.898279333558917,4,1
C.Avril,2016,SEA,DE,11.5,26,8,5,19,931,18,0.77,0.638888888888889,1.44444444444444,4.02792696025779,0.444444444444444,0.892175080841893,5,1
R.Kerrigan,2016,WAS,OLB,11,20,15,2,9,786,16,0.718125,0.6875,1.25,3.9440203562341,0.9375,0.875517704118206,6,2
V.Beasley,2016,ATL,OLB,15.5,16,11,6,9,820,19,0.613157894736842,0.81578947368421,0.842105263157895,3.84146341463415,0.578947368421053,0.874692300234999,7,2
T.Murphy,2016,WAS,DE,9,24,10,3,11,674,16,0.609375,0.5625,1.5,4.89614243323442,0.625,0.870856901693089,8,2
J.Bosa,2016,SD,DE,10.5,21,17,1,10,563,12,0.7175,0.875,1.75,5.59502664298401,1.41666666666667,0.859003665733571,9,2
C.Wake,2016,MIA,DE,11.5,24,6,5,19,627,17,0.528235294117647,0.676470588235294,1.41176470588235,5.66188197767145,0.352941176470588,0.854272704477089,10,2
E.Walden,2016,IND,OLB,11,17,10,3,14,760,16,0.70125,0.6875,1.0625,3.68421052631579,0.625,0.843444952007554,11,3
F.Clark,2016,SEA,DE,10,18,11,2,17,754,17,0.657058823529412,0.588235294117647,1.05882352941176,3.71352785145889,0.647058823529412,0.837719634535918,12,3
M.Addison,2016,CAR,DE,9.5,15,11,2,15,434,14,0.469285714285714,0.678571428571429,1.07142857142857,5.64516129032258,0.785714285714286,0.830202863047448,13,3
C.Campbell,2016,ARI,DE,8,21,12,2,11,830,16,0.77625,0.5,1.3125,3.49397590361446,0.75,0.828829012754795,14,3
