team,remaining_cap,cap_space_amount,season
Patriots,$59,850,850,59850850,2025
Lions,$47,832,225,47832225,2025
49ers,$47,047,390,47047390,2025
Cardinals,$35,475,092,35475092,2025
Raiders,$34,853,852,34853852,2025
Seahawks,$34,677,982,34677982,2025
Cowboys,$31,559,802,31559802,2025
Chargers,$31,499,130,31499130,2025
Packers,$31,231,389,31231389,2025
Eagles,$30,003,218,30003218,2025
Titans,$29,381,839,29381839,2025
Bengals,$28,815,507,28815507,2025
Jets,$27,927,750,27927750,2025
Buccaneers,$26,145,054,26145054,2025
Vikings,$25,575,994,25575994,2025
Saints,$20,507,856,20507856,2025
Rams,$19,452,413,19452413,2025
Steelers,$19,247,645,19247645,2025
Browns,$19,046,239,19046239,2025
Panthers,$18,881,640,18881640,2025
Jaguars,$18,814,786,18814786,2025
Commanders,$17,151,826,17151826,2025
Colts,$17,091,083,17091083,2025
Chiefs,$16,962,849,16962849,2025
Texans,$14,707,632,14707632,2025
Ravens,$14,491,679,14491679,2025
Bears,$13,158,806,13158806,2025
Dolphins,$11,790,998,11790998,2025
Broncos,$5,545,012,5545012,2025
Falcons,$4,853,833,4853833,2025
Giants,$3,822,588,3822588,2025
Bills,($946,228),946228,2025
