"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","passer_player_name","passing_epa_total","passing_epa_per_play","passing_plays","rusher_player_name","rushing_epa_total","rushing_epa_per_play","rushing_plays","receiver_player_name","receiving_epa_total","receiving_epa_per_play","receiving_plays","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds","total_epa"
"00-0035228","Kyler Murray","QB","QB","ARI",1,70,207,5,"ACT","Oklahoma","Kyler Murray",17,372,541,3851,21,11,78,572,5,0,0,0,0,297.24,"K.Murray",44.5,0.078,570,"K.Murray",-3.28,-0.103,32,NA,0,0,0,17.5,226.5,33.6,0,26,41.22
"00-0038582","Clayton Tune","QB","QB","ARI",15,75,220,1,"ACT","Houston","Clayton Tune",5,2,2,8,0,0,7,-4,0,0,0,0,0,-2.08,"C.Tune",-1.13,-0.564,2,"C.Tune",-8.65,-1.73,5,NA,0,0,0,-0.4,1.6,-0.8,0,0,-9.78
"00-0033553","James Conner","RB","RB","ARI",6,73,233,7,"RES","Pittsburgh","James Conner",16,0,0,0,0,0,236,1094,8,47,55,414,1,253.8,NA,0,0,0,"J.Conner",1.23,0.005,239,"J.Conner",18.19,0.387,47,15.9,0,68.4,25.9,9,19.42
"00-0038705","Emari Demercado","RB","RB","ARI",31,69,210,1,"RES","Texas Christian","Emari Demercado",13,0,0,0,0,0,24,223,1,16,20,104,0,54.7,NA,0,0,0,"E.Demercado",12.36,0.515,24,"E.Demercado",-0.99,-0.062,16,4.2,0,17.2,8,1,11.37
"00-0039921","Trey Benson","RB","RB","ARI",33,73,215,0,"RES","Florida State","Trey Benson",12,0,0,0,0,0,63,291,1,6,6,59,0,47,NA,0,0,0,"T.Benson",-4.97,-0.079,63,"T.Benson",3.1,0.517,6,3.9,0,24.2,4.9,1,-1.87
"00-0036924","Michael Carter","RB","RB","ARI",22,68,200,3,"ACT","North Carolina","Michael Carter",3,0,0,0,0,0,35,131,1,11,11,57,0,35.8,NA,0,0,0,"M.Carter",-0.48,-0.014,35,"M.Carter",0.96,0.087,11,11.9,0,43.7,19,1,0.48
"00-0036425","DeeJay Dallas","RB","RB","ARI",20,70,214,4,"ACT","Miami","DeeJay Dallas",7,0,0,0,0,0,9,49,0,3,3,11,1,21,NA,0,0,0,"D.Dallas",1.28,0.142,9,"D.Dallas",1.62,0.54,3,3,0,7,1.6,1,2.9
"00-0035860","Tony Jones","RB","RB","ARI",37,71,225,4,"ACT","Notre Dame","Tony Jones",1,0,0,0,0,0,4,55,1,0,0,0,0,11.5,NA,0,0,0,"T.Jones",2.86,0.716,4,NA,0,0,0,11.5,0,55,0,1,2.86
"00-0038714","Hassan Hall","RB","RB","ARI",48,70,196,1,"DEV","Georgia Tech",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0037744","Trey McBride","TE","TE","ARI",85,76,245,2,"ACT","Colorado State","Trey McBride",16,0,0,0,0,0,1,2,1,111,147,1146,2,243.8,NA,0,0,0,"T.McBride",0.6,0.601,1,"T.McBride",82.3,0.741,111,15.2,0,0.1,71.6,3,82.9
"00-0039041","Elijah Higgins","TE","TE","ARI",84,75,234,1,"ACT","Stanford","Elijah Higgins",14,0,0,0,0,0,0,0,0,20,24,172,2,49.2,NA,0,0,0,NA,0,0,0,"E.Higgins",11.94,0.597,20,3.5,0,0,12.3,2,11.94
"00-0039737","Tip Reiman","TE","TE","ARI",87,76,270,0,"ACT","Illinois","Tip Reiman",5,0,0,0,0,0,0,0,0,6,7,37,0,9.7,NA,0,0,0,NA,0,0,0,"T.Reiman",1.13,0.188,6,1.9,0,0,7.4,0,1.13
"00-0036753","Sage Surratt","TE","TE","ARI",47,75,215,3,"CUT","Wake Forest",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0037020","Bernhard Seikovits","TE","TE","ARI",47,77,262,3,"DEV","No College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038456","Travis Vokolek","TE","TE","ARI",81,78,260,1,"INA","Nebraska",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0039849","Marvin Harrison Jr.","WR","WR","ARI",18,76,205,0,"ACT","Ohio State","Marvin Harrison",17,0,0,0,0,0,0,0,0,62,116,885,8,196.5,NA,0,0,0,NA,0,0,0,"M.Harrison",78.09,1.26,62,11.6,0,0,52.1,8,78.09
"00-0038559","Michael Wilson","WR","WR","ARI",14,74,209,1,"INA","Stanford","Michael Wilson",16,0,0,0,0,0,1,7,0,47,71,548,4,124.5,NA,0,0,0,"Mi.Wilson",-0.81,-0.814,1,"Mi.Wilson",41.35,0.88,47,7.8,0,0.4,34.2,4,40.54
"00-0035500","Greg Dortch","WR","WR","ARI",4,67,173,5,"ACT","Wake Forest","Greg Dortch",17,0,0,0,0,0,5,31,0,37,50,342,3,90.3,NA,0,0,0,"G.Dortch",2.25,0.449,5,"G.Dortch",20.25,0.547,37,5.3,0,1.8,20.1,3,22.5
"00-0033891","Zay Jones","WR","WR","ARI",17,74,200,7,"ACT","East Carolina","Zay Jones",6,0,0,0,0,0,0,0,0,8,11,84,0,16.4,NA,0,0,0,NA,0,0,0,"Z.Jones",6.26,0.783,8,2.7,0,0,14,0,6.26
"00-0033251","Zach Pascal","WR","WR","ARI",0,74,214,7,"ACT","Old Dominion",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0035510","Jeff Smith","WR","WR","ARI",86,73,195,5,"CUT","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0035876","Andre Baccellia","WR","WR","ARI",82,70,175,4,"DEV","Washington",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038147","Daylen Baldwin","WR","WR","ARI",86,74,219,2,"CUT","Michigan",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038702","Daniel Arias","WR","WR","ARI",38,76,215,1,"CUT","Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0039397","Tejhaun Palmer","WR","WR","ARI",83,74,210,0,"DEV","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0039521","Xavier Weaver","WR","WR","ARI",89,73,180,0,"ACT","Colorado","Xavier Weaver",2,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0029604","Kirk Cousins","QB","QB","ATL",18,75,202,12,"ACT","Michigan State","Kirk Cousins",14,303,453,3508,18,16,23,0,0,0,0,0,0,176.32,"K.Cousins",16.23,0.034,478,"K.Cousins",-9.58,-1.064,9,NA,0,0,0,12.6,250.6,0,0,18,6.65
"00-0039917","Michael Penix Jr.","QB","QB","ATL",9,75,213,0,"ACT","Washington","Michael Penix",5,61,105,775,3,3,7,11,1,0,0,0,0,44.1,"M.Penix",14.55,0.134,109,"M.Penix",-0.27,-0.271,1,NA,0,0,0,8.8,155,2.2,0,4,14.28
"00-0026143","Matt Ryan","QB","QB","ATL",2,76,217,16,"RET","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0033958","Nathan Peterman","QB","QB","ATL",4,74,225,7,"DEV","Pittsburgh",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0039331","Emory Jones","QB","QB","ATL",11,74,210,0,"DEV","Cincinnati",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0039723","John Paddock","QB","QB","ATL",16,72,190,0,"CUT","Illinois",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038542","Bijan Robinson","RB","RB","ATL",7,71,214,1,"ACT","Texas","Bijan Robinson",17,0,0,0,0,0,304,1456,14,61,72,431,1,341.7,NA,0,0,0,"B.Robinson",17.94,0.059,305,"B.Robinson",16.11,0.264,61,20.1,0,85.6,25.4,15,34.05
"00-0037263","Tyler Allgeier","RB","RB","ATL",25,70,220,2,"ACT","Brigham Young","Tyler Allgeier",17,0,0,0,0,0,137,644,3,13,13,88,0,106.2,NA,0,0,0,"T.Allgeier",5.49,0.04,138,"T.Allgeier",3.43,0.264,13,6.2,0,37.9,5.2,3,8.92
"00-0039393","Jase McClellan","RB","RB","ATL",30,71,212,0,"RES","Alabama","Jase McClellan",2,0,0,0,0,0,13,32,0,0,0,0,0,3.2,NA,0,0,0,"J.McClellan",-7.1,-0.547,13,NA,0,0,0,1.6,0,16,0,0,-7.1
"00-0036543","Spencer Brown","RB","RB","ATL",42,72,220,3,"CUT","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0036950","Avery Williams","RB","RB","ATL",26,69,195,3,"ACT","Boise State",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038419","Robert Burns","RB","RB","ATL",39,71,228,1,"RES","Connecticut",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038862","Elijah Dotson","RB","RB","ATL",41,69,200,1,"DEV","Northern Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0038930","Carlos Washington","RB","RB","ATL",28,71,220,1,"ACT","Southeastern Louisiana",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0036970","Kyle Pitts","TE","TE","ATL",8,78,250,3,"ACT","Florida","Kyle Pitts",17,0,0,0,0,0,0,0,0,47,74,602,4,131.2,NA,0,0,0,NA,0,0,0,"K.Pitts",42.92,0.913,47,7.7,0,0,35.4,4,42.92
"00-0036429","Charlie Woerner","TE","TE","ATL",89,77,245,4,"ACT","Georgia","Charlie Woerner",8,0,0,0,0,0,0,0,0,7,12,46,0,11.6,NA,0,0,0,NA,0,0,0,"C.Woerner",1.69,0.241,7,1.4,0,0,5.8,0,1.69
"00-0034073","Ross Dwelley","TE","TE","ATL",85,77,240,6,"ACT","San Diego","Ross Dwelley",1,0,0,0,0,0,0,0,0,1,1,5,0,1.5,NA,0,0,0,NA,0,0,0,"R.Dwelley",0.14,0.137,1,1.5,0,0,5,0,0.14
"00-0039728","Austin Stogner","TE","TE","ATL",88,78,258,0,"CUT","Oklahoma",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0
"00-0037238","Drake London","WR","WR","ATL",5,76,210,2,"ACT","Southern California","Drake London",17,0,0,0,0,0,1,-3,0,100,158,1271,9,280.8,NA,0,0,0,"D.London",-2.37,-2.37,1,"D.London",120.03,1.2,100,16.5,0,-0.2,74.8,9,117.66
